what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1336630129349
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1336630129349
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1336630129365
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1336630129381
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1336630129396
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1336630129412
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1336630129427
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1336630129443
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1336630129474
started,bundle,edu.umd.cs.findbugs.plugin.eclipse,2.0.0.20111221,"edu.umd.cs.findbugs.plugin.eclipse",1336630129490
started,bundle,net.sf.eclipsecs.core,5.5.0.201111092104,"net.sf.eclipsecs.core",1336630129505
started,bundle,net.sf.eclipsecs.ui,5.5.0.201111092104,"net.sf.eclipsecs.ui",1336630129521
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1336630129521
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1336630129552
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1336630129552
os,sysinfo,,,"win32",1336630129552
arch,sysinfo,,,"x86_64",1336630129552
ws,sysinfo,,,"win32",1336630129552
locale,sysinfo,,,"de_DE",1336630129552
processors,sysinfo,,,"4",1336630129552
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1336630129552
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1336630129552
java.specification.name,sysinfo,,,"Java Platform API Specification",1336630129552
java.specification.vendor,sysinfo,,,"Oracle Corporation",1336630129552
java.specification.version,sysinfo,,,"1.7",1336630129552
java.vendor,sysinfo,,,"Oracle Corporation",1336630129552
java.version,sysinfo,,,"1.7.0_03",1336630129552
java.vm.info,sysinfo,,,"mixed mode",1336630129552
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1336630129552
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1336630129552
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1336630129552
java.vm.specification.version,sysinfo,,,"1.7",1336630129552
java.vm.vendor,sysinfo,,,"Oracle Corporation",1336630129552
java.vm.version,sysinfo,,,"22.1-b02",1336630129552
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336630129833
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336630130972
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1336630133203
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1336630133265
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1336630135309
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1336630135402
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1336630135901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630136962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630136962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630136978
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1336630137087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630160453
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336630164530
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336630168118
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1336630176978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336630241453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336630310265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336630314352
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1336630328252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630329952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630330249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336630410090
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1336630413865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630416657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630417078
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1336630525561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336630525592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336630526856
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1336630541145
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1336630541286
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1336630541286
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1336630541333
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1336630541379
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1336630541457
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1336630541489
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1336630541551
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1336630541582
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1336630541598
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1336630542284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630545295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630545545
started,bundle,org.eclipse.birt.report.debug.ui,3.7.2.v20120213,"org.eclipse.birt.report.debug.ui",1336630584264
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1336630584311
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1336630584373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1336630585512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630640268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630641812
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1336630642608
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1336630642608
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1336630642655
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1336630642670
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1336630642702
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1336630642717
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1336630642717
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1336630642858
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1336630642889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630643185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630643232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630643248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336630673437
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336630694051
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336630697062
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336630697218
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1336630805373
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336630810053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336630838335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336630853982
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631317443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631319081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631319456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631320938
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336631322267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631323920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631323983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631323998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631388345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631435598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631436986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631437298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631437345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631437360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631471069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631492167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631493321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631493664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631493758
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631493773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631524623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336631551075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336631557721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1336631563836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336631569156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1336631579327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336631582338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1336631586207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631587564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631587611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631587626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631604454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631625384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631626851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631627178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631627225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631627241
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336631643815
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1336631658074
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336631662052
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336631670149
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336631670352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336631670414
